Zipcode,Region,transit_mode,agency,line_name,station_name,line_station,year_stati,stations_la,stations_lo
20906,39,4,WMATA,Metrorail Red Line(Red),GLENMONT METRO STATION,Metrorail Red Line(Red) GLENMONT METRO STATION,Pre-2000,39.061743,-77.053097
20910,39,4,WMATA,Metrorail Red Line(Red),FOREST GLEN METRO STATION,Metrorail Red Line(Red) FOREST GLEN METRO STATION,Pre-2000,39.015465,-77.042667
20910,39,4,WMATA,Metrorail Red Line(Red),SILVER SPRING METRO STATION,Metrorail Red Line(Red) SILVER SPRING METRO STATION,Pre-2000,38.993658,-77.032307
22031,39,4,WMATA,Metrorail Orange Line(Orange),DUNN LORING MERRIFIELD METRO STATION,Metrorail Orange Line(Orange) DUNN LORING MERRIFIELD METRO STATION,Pre-2000,38.883146,-77.228654
22031,39,4,WMATA,Metrorail Orange Line(Orange),VIENNA METRO STATION,Metrorail Orange Line(Orange) VIENNA METRO STATION,Pre-2000,38.877881,-77.271363
22043,39,4,WMATA,Metrorail Orange Line(Orange),WEST FALLS CHURCH METRO,Metrorail Orange Line(Orange) WEST FALLS CHURCH METRO,Pre-2000,38.900738,-77.188871
22150,39,4,WMATA,Metrorail Blue Line(Blue),FRANCONIA SPRINGFIELD METRO,Metrorail Blue Line(Blue) FRANCONIA SPRINGFIELD METRO,Pre-2000,38.766196,-77.168487
22201,39,4,WMATA,Metrorail Orange Line(Orange),CLARENDON METRORAIL STATION,Metrorail Orange Line(Orange) CLARENDON METRORAIL STATION,Pre-2000,38.887176,-77.094987
22201,39,4,WMATA,Metrorail Orange Line(Orange),COURTHOUSE METRO STATION,Metrorail Orange Line(Orange) COURTHOUSE METRO STATION,Pre-2000,38.891331,-77.084823
22202,39,4,WMATA,"Metrorail Blue Line(Blue), Metrorail Yellow Line(Yellow)",PENTAGON METRO STATION,"Metrorail Blue Line(Blue), Metrorail Yellow Line(Yellow) PENTAGON METRO STATION",Pre-2000,38.869474,-77.053777
22202,39,4,WMATA,"Metrorail Yellow Line(Yellow), Metrorail Blue Line(Blue)",CRYSTAL CITY METRO STATION,"Metrorail Yellow Line(Yellow), Metrorail Blue Line(Blue) CRYSTAL CITY METRO STATION",Pre-2000,38.857817,-77.050346
22202,39,4,WMATA,"Metrorail Yellow Line(Yellow), Metrorail Blue Line(Blue)",NATIONAL AIRPORT METRO STATION,"Metrorail Yellow Line(Yellow), Metrorail Blue Line(Blue) NATIONAL AIRPORT METRO STATION",Pre-2000,38.853003,-77.043475
22202,39,4,WMATA,"Metrorail Yellow Line(Yellow), Metrorail Blue Line(Blue)",PENTAGON CITY METRO STATION,"Metrorail Yellow Line(Yellow), Metrorail Blue Line(Blue) PENTAGON CITY METRO STATION",Pre-2000,38.862961,-77.059142
22203,39,4,WMATA,Metrorail Orange Line(Orange),BALLSTON METRO,Metrorail Orange Line(Orange) BALLSTON METRO,Pre-2000,38.882238,-77.11155
22203,39,4,WMATA,Metrorail Orange Line(Orange),VIRGINIA SQUARE METRO STATION,Metrorail Orange Line(Orange) VIRGINIA SQUARE METRO STATION,Pre-2000,38.883074,-77.103809
22205,39,4,WMATA,Metrorail Orange Line(Orange),EAST FALLS CHURCH METRO STATION,Metrorail Orange Line(Orange) EAST FALLS CHURCH METRO STATION,Pre-2000,38.886042,-77.156567
22209,39,4,WMATA,"Metrorail Blue Line(Blue), Metrorail Orange Line(Orange)",ROSSLYN METRO STATION,"Metrorail Blue Line(Blue), Metrorail Orange Line(Orange) ROSSLYN METRO STATION",Pre-2000,38.895493,-77.071954
22211,39,4,WMATA,Metrorail Blue Line(Blue),ARLINGTON CEMETERY METRO STATION,Metrorail Blue Line(Blue) ARLINGTON CEMETERY METRO STATION,Pre-2000,38.884612,-77.062795
22303,39,4,WMATA,Metrorail Yellow Line(Yellow),HUNTINGTON AV METRO STATION,Metrorail Yellow Line(Yellow) HUNTINGTON AV METRO STATION,Pre-2000,38.793895,-77.074955
22310,39,4,WMATA,Metrorail Blue Line(Blue),VAN DORN METRO STATION,Metrorail Blue Line(Blue) VAN DORN METRO STATION,Pre-2000,38.799263,-77.129111
22314,39,4,WMATA,"Metrorail Blue Line(Blue), Metrorail Yellow Line(Yellow)",BRADDOCK RD METRORAIL STATION,"Metrorail Blue Line(Blue), Metrorail Yellow Line(Yellow) BRADDOCK RD METRORAIL STATION",Pre-2000,38.814052,-77.053434
22314,39,4,WMATA,Metrorail Yellow Line(Yellow),EISENHOWER AV METRO STATION,Metrorail Yellow Line(Yellow) EISENHOWER AV METRO STATION,Pre-2000,38.800345,-77.070831
22314,39,4,WMATA,"Metrorail Yellow Line(Yellow), Metrorail Blue Line(Blue)",KING STREET METRO STATION,"Metrorail Yellow Line(Yellow), Metrorail Blue Line(Blue) KING STREET METRO STATION",Pre-2000,38.806506,-77.060796
,,,,,ASHBURN,,Pre-2000,39.005286,-77.491529
,,,,,LOUDOUN GATEWAY,,Pre-2000,38.992042,-77.460679
,,,,,WASHINGTON DULLES INTERNATIONAL AIRPORT,,Pre-2000,38.955782,-77.44815
,,,,,INNOVATION CENTER,,Pre-2000,38.960761,-77.415296
,,,,,HERNDON,,Pre-2000,38.95282,-77.385178
,,,,,RESTON TOWN CENTER,,Pre-2000,38.952768,-77.360188
,,,,,WIEHLE-RESTON EAST,,Pre-2000,38.9478252,-77.34031274
,,,,,SPRING HILL,,Pre-2000,38.92920589,-77.24188704
,,,,,GREENSBORO,,Pre-2000,38.92126077,-77.23416004
,,,,,TYSONS,,Pre-2000,38.92067679,-77.22158635
,,,,,MCLEAN,,Pre-2000,38.92433016,-77.21053026
